sep=;
ref;value;datasheet;footprint;Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8
R7;100k;http://www.farnell.com/datasheets/1533075.pdf;~;http://www.farnell.com/datasheets/1533075.pdf;Farnell;1652905;VISHAY DRALORIC;CRCW0805100KFKTA;RESISTOR, 0805, 100K, 1%, THICK FILM CHIP RESISTOR;;;
R8;10k;http://www.farnell.com/datasheets/1716708.pdf;~;http://www.farnell.com/datasheets/1716708.pdf;Farnell;2073607;MULTICOMP;MCMR08X1002FTL;RESISTOR, 0805, 10K, 1%, ANTI SULFUR;;;
R9;10k;http://www.farnell.com/datasheets/1716708.pdf;~;http://www.farnell.com/datasheets/1716708.pdf;Farnell;2073607;MULTICOMP;MCMR08X1002FTL;RESISTOR, 0805, 10K, 1%, ANTI SULFUR;;;
R10;0;http://www.farnell.com/datasheets/1716708.pdf;~;http://www.farnell.com/datasheets/1716708.pdf;Farnell;2073603;MULTICOMP;MCMR08X000 PTL; RESISTORE, 0805, 0R, ANTI SOLFATAZIONE;;;
R11;0;http://www.farnell.com/datasheets/1716708.pdf;~;http://www.farnell.com/datasheets/1716708.pdf;Farnell;2073603;MULTICOMP;MCMR08X000 PTL; RESISTORE, 0805, 0R, ANTI SOLFATAZIONE;;;
R12;750;http://www.farnell.com/datasheets/426256.pdf;~;http://www.farnell.com/datasheets/426256.pdf;Farnell;2057606;PANASONIC;ERJ6ENF7500V;RESISTORE, 0805, 750R 1%, 0.125W;;;
R13;560;http://www.farnell.com/datasheets/1720486.pdf;~;http://www.farnell.com/datasheets/1720486.pdf;Farnell;1469945;VISHAY DRALORIC;CRCW0805560RFKEA;RESISTORE, 560R, 0.125W, 1%, 0805, SMD;;;
R14;120;http://www.farnell.com/datasheets/1716708.pdf;~;http://www.farnell.com/datasheets/1716708.pdf;Farnell;2073624;MULTICOMP;MCMR08X1200FTL;RESISTOR, 0805, 120R, 1%, ANTI SULFUR;;;
R15;560;http://www.farnell.com/datasheets/1720486.pdf;~;http://www.farnell.com/datasheets/1720486.pdf;Farnell;1469945;VISHAY DRALORIC;CRCW0805560RFKEA;RESISTORE, 560R, 0.125W, 1%, 0805, SMD;;;
R16;0;http://www.farnell.com/datasheets/1716708.pdf;~;http://www.farnell.com/datasheets/1716708.pdf;Farnell;2073603;MULTICOMP;MCMR08X000 PTL; RESISTORE, 0805, 0R, ANTI SOLFATAZIONE;;;
R17;0;http://www.farnell.com/datasheets/1716708.pdf;~;http://www.farnell.com/datasheets/1716708.pdf;Farnell;2073603;MULTICOMP;MCMR08X000 PTL; RESISTORE, 0805, 0R, ANTI SOLFATAZIONE;;;
R18;10k;http://www.farnell.com/datasheets/1716708.pdf;~;http://www.farnell.com/datasheets/1716708.pdf;Farnell;2073607;MULTICOMP;MCMR08X1002FTL;RESISTOR, 0805, 10K, 1%, ANTI SULFUR;;;
R19;15k;http://www.farnell.com/datasheets/1720486.pdf;~;http://www.farnell.com/datasheets/1720486.pdf;Farnell;1652920;VISHAY DRALORIC;CRCW080515K0FKEA;RESISTORE, 15K, 0.125W, 1%, 0805, SMD;;;
R20;5k11;http://www.farnell.com/datasheets/426256.pdf;~;http://www.farnell.com/datasheets/426256.pdf;Farnell;2057626;PANASONIC;ERJ6ENF5111V;RESISTORE, 0805, 5K11 1%, 0.125W;;;
R21;22;http://www.farnell.com/datasheets/1720486.pdf;~;http://www.farnell.com/datasheets/1720486.pdf;Farnell;1652962;VISHAY DRALORIC;CRCW080522R0FKEA;RESISTOR, 22R0, 0.125W, 1%, 0805, SMD;;;
R22;22;http://www.farnell.com/datasheets/1720486.pdf;~;http://www.farnell.com/datasheets/1720486.pdf;Farnell;1652962;VISHAY DRALORIC;CRCW080522R0FKEA;RESISTOR, 22R0, 0.125W, 1%, 0805, SMD;;;
R23;4k7;http://www.farnell.com/datasheets/1716708.pdf;~;http://www.farnell.com/datasheets/1716708.pdf;Farnell;2073779;MULTICOMP;MCMR08X4701FTL; RESISTOR, 0805, 4K7, 1%, ANTI SULFUR;;;
R24;4k7;http://www.farnell.com/datasheets/1716708.pdf;~;http://www.farnell.com/datasheets/1716708.pdf;Farnell;2073779;MULTICOMP;MCMR08X4701FTL; RESISTOR, 0805, 4K7, 1%, ANTI SULFUR;;;
R25;4k7;http://www.farnell.com/datasheets/1716708.pdf;~;http://www.farnell.com/datasheets/1716708.pdf;Farnell;2073779;MULTICOMP;MCMR08X4701FTL; RESISTOR, 0805, 4K7, 1%, ANTI SULFUR;;;
R26;4k7;http://www.farnell.com/datasheets/1716708.pdf;~;http://www.farnell.com/datasheets/1716708.pdf;Farnell;2073779;MULTICOMP;MCMR08X4701FTL; RESISTOR, 0805, 4K7, 1%, ANTI SULFUR;;;
TVS1;CDSOT23-SM712;http://www.farnell.com/datasheets/1670933.pdf;~;http://www.farnell.com/datasheets/1670933.pdf;Farnell;1824869;BOURNS;CDSOT23-SM712;DIODE, UNIDIR TVS, 2 LINE, 7V&12V, SOT23;;;
TVS2;CDSOT23-SM712;http://www.farnell.com/datasheets/1670933.pdf;~;http://www.farnell.com/datasheets/1670933.pdf;Farnell;1824869;BOURNS;CDSOT23-SM712;DIODE, UNIDIR TVS, 2 LINE, 7V&12V, SOT23;;;
U1;SN65HVD234;http://www.farnell.com/datasheets/1808424.pdf;MODULE;http://www.farnell.com/datasheets/1808424.pdf;Farnell;1212363;Texas Instruments;SN65HVD234D;TRANSCEIVER CAN, 65HVD234, SOIC8;;;
U2;TPS62160;DOCUMENTATION;MODULE;DOCUMENTATION;Farnell;2099930;Texas Instruments;TPS62160DGKT; BUCK, 3V-17VIN, 2.25MHZ, 1A, ADJ, 8MSOP;;;
U3;SN65HVD11;http://www.farnell.com/datasheets/1808277.pdf;MODULE;http://www.farnell.com/datasheets/1808277.pdf;Farnell;1100955;Texas Instruments;SN65HVD11D;3.3-V RS-485 TRANSCEIVERS;;;
U4;RFM23B;http://www.hoperf.com/upload/rf/RFM22B_23B.pdf;;http://www.hoperf.com/upload/rf/RFM22B_23B.pdf;Idetron;RFM23B-433-S2;HopeRF;RFM23B-433-S2;The transceiver module is a complete RF receiver and transmitter, suited for exchanging data with a data rate up to 256 kbit/s. ;;;
